id,category,vec
2687,4,"[ 23.  11.   8. ...,   0.   0.   0.]"
2688,6,"[ 49.  46.  19. ...,   0.   0.   0.]"
2689,6,"[ 9.  7.  7. ...,  0.  0.  0.]"
2690,3,"[ 7.  2.  3. ...,  0.  0.  0.]"
2691,10,"[ 41.  22.  14. ...,   0.   0.   0.]"
2692,8,"[ 24.  10.   7. ...,   0.   0.   0.]"
2693,6,"[ 7.  6.  5. ...,  0.  0.  0.]"
2694,1,"[ 11.   6.   6. ...,   0.   0.   0.]"
2695,7,"[ 34.   8.   6. ...,   0.   0.   0.]"
2696,3,"[ 39.  38.  15. ...,   0.   0.   0.]"
2697,6,"[ 24.   7.  16. ...,   0.   0.   0.]"
2698,4,"[ 30.  15.   7. ...,   0.   0.   0.]"
2699,1,"[ 24.  10.   6. ...,   0.   0.   0.]"
2700,7,"[ 37.  15.  15. ...,   0.   0.   0.]"
2701,9,"[ 59.   7.  13. ...,   0.   0.   0.]"
2702,3,"[ 16.   0.   4. ...,   0.   0.   0.]"
2703,1,"[ 29.   6.   6. ...,   0.   0.   0.]"
2704,1,"[ 12.   2.   6. ...,   0.   0.   2.]"
2705,6,"[ 3.  0.  3. ...,  0.  0.  0.]"
2706,4,"[ 21.   4.   5. ...,   0.   0.   0.]"
2707,2,"[ 11.   0.   2. ...,   0.   0.   0.]"
2708,7,"[ 28.   9.   9. ...,   0.   0.   0.]"
2709,1,"[ 28.  10.   7. ...,   0.   0.   0.]"
2710,2,"[ 16.   2.   5. ...,   0.   0.   0.]"
2711,7,"[ 30.   9.  11. ...,   0.   0.   0.]"
2712,6,"[ 35.  18.  16. ...,   0.   0.   0.]"
2713,2,"[ 52.  13.  14. ...,   0.   0.   0.]"
2714,8,"[ 26.  16.   6. ...,   0.   0.   0.]"
2715,8,"[ 25.   8.  12. ...,   0.   0.   0.]"
2716,7,"[ 38.  10.   8. ...,   0.   0.   0.]"
2717,8,"[ 30.  15.   9. ...,   0.   0.   0.]"
2718,3,"[ 49.   9.   8. ...,   0.   0.   0.]"
2719,1,"[ 21.  14.   9. ...,   0.   0.   0.]"
2720,4,"[ 59.  10.  17. ...,   0.   0.   0.]"
2721,6,"[ 8.  7.  5. ...,  0.  0.  0.]"
2722,4,"[ 10.   0.   3. ...,   0.   0.   0.]"
2723,1,"[ 44.   9.  11. ...,   0.   0.   0.]"
2724,9,"[ 23.   5.   4. ...,   0.   0.   0.]"
2725,6,"[ 22.  12.   9. ...,   0.   0.   0.]"
2726,4,"[ 30.  12.   7. ...,   0.   0.   0.]"
2727,10,"[ 2.  1.  1. ...,  0.  0.  0.]"
2728,1,"[ 5.  1.  1. ...,  0.  0.  0.]"
2729,5,"[ 32.   9.  12. ...,   0.   0.   0.]"
2730,7,"[ 29.  13.   8. ...,   0.   0.   0.]"
2731,5,"[ 39.   3.   7. ...,   0.   0.   0.]"
2732,7,"[ 10.   3.   7. ...,   0.   0.   0.]"
2733,9,"[ 69.  12.  13. ...,   0.   0.   0.]"
2734,1,"[ 24.   7.  10. ...,   0.   0.   0.]"
2735,6,"[ 27.   9.  11. ...,   0.   0.   0.]"
2736,8,"[ 25.  14.  14. ...,   0.   0.   0.]"
2737,5,"[ 2.  1.  1. ...,  0.  0.  0.]"
2738,1,"[ 68.  47.  19. ...,   0.   0.   0.]"
2739,2,"[ 48.  22.  26. ...,   0.   0.   0.]"
2740,3,"[ 7.  4.  2. ...,  0.  0.  0.]"
2741,7,"[ 24.   1.   7. ...,   0.   0.   0.]"
2742,5,"[ 23.   3.   8. ...,   0.   0.   0.]"
2743,5,"[ 45.  16.  18. ...,   0.   0.   0.]"
2744,4,"[ 35.   6.   8. ...,   0.   0.   0.]"
2745,8,"[ 28.   8.  10. ...,   0.   0.   0.]"
2746,6,"[ 44.  40.  14. ...,   0.   0.   0.]"
2747,7,"[ 26.  13.   8. ...,   0.   0.   0.]"
2748,5,"[ 2.  1.  2. ...,  0.  0.  0.]"
2749,10,"[ 65.  42.  25. ...,   0.   0.   0.]"
2750,8,"[ 25.   3.   5. ...,   0.   0.   0.]"
2751,7,"[ 20.   7.   8. ...,   0.   0.   0.]"
2752,2,"[ 32.  11.  12. ...,   0.   0.   0.]"
2753,8,"[ 12.  18.   5. ...,   0.   0.   0.]"
2754,4,"[ 27.   8.   9. ...,   0.   0.   0.]"
2755,9,"[ 2.  4.  0. ...,  0.  0.  0.]"
2756,4,"[ 42.  14.  14. ...,   0.   0.   0.]"
2757,5,"[ 4.  3.  3. ...,  0.  0.  0.]"
2758,1,"[ 23.   6.   8. ...,   0.   0.   0.]"
2759,3,"[ 38.   4.   8. ...,   0.   0.   0.]"
2760,3,"[ 2.  1.  2. ...,  0.  0.  0.]"
2761,8,"[ 14.   8.   7. ...,   0.   0.   0.]"
2762,4,"[ 42.   5.  12. ...,   0.   0.   0.]"
2763,7,"[ 24.  16.  13. ...,   0.   0.   0.]"
2764,1,"[ 42.   7.  11. ...,   0.   0.   0.]"
2765,5,"[ 35.  10.  13. ...,   0.   0.   0.]"
2766,3,"[ 9.  5.  5. ...,  0.  0.  0.]"
2767,9,"[ 54.  12.   8. ...,   0.   0.   0.]"
2768,4,"[ 38.   4.   6. ...,   0.   0.   0.]"
2769,7,"[ 21.  16.  11. ...,   0.   0.   0.]"
2770,1,"[ 9.  8.  3. ...,  0.  0.  0.]"
2771,6,"[ 19.  14.  11. ...,   0.   0.   0.]"
2772,10,"[ 24.   8.   6. ...,   0.   0.   0.]"
2773,3,"[ 1.  1.  1. ...,  0.  0.  0.]"
2774,8,"[ 22.   4.   5. ...,   0.   0.   0.]"
2775,9,"[ 49.  12.  10. ...,   0.   0.   0.]"
2776,10,"[ 52.  21.  13. ...,   0.   0.   0.]"
2777,8,"[ 6.  5.  8. ...,  0.  0.  0.]"
2778,8,"[ 37.  11.  12. ...,   0.   0.   0.]"
2779,4,"[ 9.  4.  2. ...,  0.  0.  0.]"
2780,4,"[ 16.   3.   5. ...,   0.   0.   0.]"
2781,2,"[ 40.   4.  10. ...,   0.   0.   0.]"
2782,5,"[ 20.   6.   7. ...,   0.   0.   0.]"
2783,4,"[ 20.   4.   7. ...,   0.   0.   0.]"
2784,8,"[ 19.  10.   5. ...,   0.   0.   0.]"
2785,4,"[ 37.   5.  10. ...,   0.   0.   0.]"
2786,8,"[ 21.   3.   6. ...,   0.   0.   0.]"
2787,4,"[ 27.   5.   4. ...,   0.   0.   0.]"
2788,1,"[ 41.   8.  10. ...,   0.   0.   0.]"
2789,4,"[ 37.   8.   8. ...,   0.   0.   0.]"
2790,2,"[ 37.   5.  10. ...,   0.   0.   0.]"
2791,9,"[ 27.   4.   8. ...,   0.   0.   0.]"
2792,1,"[ 20.  14.  13. ...,   0.   0.   0.]"
2793,6,"[ 14.   5.   5. ...,   0.   0.   0.]"
2794,6,"[ 19.   7.   9. ...,   0.   0.   0.]"
2795,10,"[ 28.  12.   7. ...,   0.   0.   0.]"
2796,7,"[ 36.  12.  21. ...,   0.   0.   0.]"
2797,6,"[ 22.  10.  11. ...,   0.   0.   0.]"
2798,3,"[ 38.  16.  12. ...,   0.   0.   0.]"
2799,1,"[ 40.  12.  13. ...,   0.   0.   0.]"
2800,8,"[ 17.   9.   4. ...,   0.   0.   0.]"
2801,10,"[ 41.  32.  19. ...,   0.   0.   0.]"
2802,8,"[ 29.   7.   5. ...,   0.   0.   0.]"
2803,4,"[ 46.   4.  10. ...,   0.   0.   0.]"
2804,5,"[ 19.   8.   8. ...,   0.   0.   0.]"
2805,6,"[ 27.  19.  16. ...,   0.   0.   0.]"
2806,6,"[ 53.  40.  14. ...,   0.   0.   0.]"
2807,3,"[ 36.   7.   7. ...,   0.   0.   0.]"
2808,8,"[ 45.  29.  21. ...,   0.   0.   0.]"
2809,6,"[ 50.  29.  20. ...,   0.   0.   0.]"
2810,1,"[ 58.  39.  18. ...,   0.   0.   0.]"
2811,7,"[ 24.  10.  12. ...,   0.   0.   0.]"
2812,10,"[ 40.  11.  14. ...,   0.   0.   0.]"
2813,4,"[ 26.   4.   8. ...,   0.   0.   0.]"
2814,9,"[ 35.  16.  17. ...,   0.   0.   0.]"
2815,10,"[ 34.  28.  11. ...,   0.   0.   0.]"
2816,5,"[ 41.   6.   8. ...,   0.   0.   0.]"
2817,7,"[ 23.   9.   6. ...,   0.   0.   0.]"
2818,4,"[ 28.   5.   5. ...,   0.   0.   0.]"
2819,2,"[ 38.   5.  14. ...,   0.   0.   0.]"
2820,5,"[ 58.  11.  18. ...,   0.   0.   0.]"
2821,7,"[ 35.   5.   7. ...,   0.   0.   0.]"
2822,2,"[ 41.  13.   7. ...,   0.   0.   0.]"
2823,3,"[ 50.  10.  12. ...,   0.   0.   0.]"
2824,3,"[ 38.   9.  11. ...,   0.   0.   0.]"
2825,3,"[ 28.  13.   9. ...,   0.   0.   0.]"
2826,2,"[ 26.   3.  10. ...,   0.   0.   0.]"
2827,4,"[ 35.  13.   9. ...,   0.   0.   0.]"
2828,4,"[ 30.   6.   9. ...,   0.   0.   0.]"
2829,8,"[ 29.  17.   6. ...,   0.   0.   0.]"
2830,9,"[ 45.  28.  17. ...,   0.   0.   0.]"
2831,7,"[ 47.   9.   7. ...,   0.   0.   0.]"
2832,1,"[ 47.  18.  16. ...,   0.   0.   0.]"
2833,2,"[ 51.   4.  12. ...,   0.   0.   0.]"
2834,7,"[ 37.   3.  11. ...,   0.   0.   0.]"
2835,6,"[ 1.  0.  1. ...,  0.  0.  0.]"
2836,4,"[ 16.   4.   5. ...,   0.   0.   0.]"
2837,5,"[ 2.  1.  2. ...,  0.  0.  0.]"
2838,10,"[ 70.  37.  15. ...,   0.   0.   0.]"
2839,10,"[ 65.  58.  39. ...,   0.   0.   0.]"
2840,4,"[ 26.  10.   6. ...,   0.   0.   0.]"
2841,3,"[ 44.  11.   8. ...,   0.   0.   0.]"
2842,2,"[ 34.  17.  13. ...,   0.   0.   0.]"
2843,10,"[ 16.  15.   5. ...,   0.   0.   0.]"
2844,3,"[ 28.   6.   6. ...,   0.   0.   0.]"
2845,3,"[ 48.  19.  15. ...,   0.   0.   0.]"
2846,6,"[ 14.  11.   8. ...,   0.   0.   0.]"
2847,1,"[ 37.  22.  14. ...,   0.   0.   0.]"
2848,3,"[ 31.   6.  10. ...,   0.   0.   0.]"
2849,1,"[ 23.  12.   4. ...,   0.   0.   0.]"
2850,3,"[ 11.   2.   6. ...,   0.   0.   0.]"
2851,2,"[ 19.   2.   5. ...,   0.   0.   0.]"
2852,10,"[ 0.  2.  1. ...,  0.  0.  0.]"
2853,8,"[  0.  12.   0. ...,   0.   0.   0.]"
2854,1,"[ 32.   9.  11. ...,   0.   0.   0.]"
2855,10,"[ 8.  4.  3. ...,  0.  0.  0.]"
2856,8,"[ 36.  17.  12. ...,   0.   0.   0.]"
2857,2,"[ 35.   9.   8. ...,   0.   0.   0.]"
2858,6,"[ 18.   9.  11. ...,   0.   0.   0.]"
2859,9,"[ 37.   5.   9. ...,   0.   0.   0.]"
2860,1,"[ 8.  5.  6. ...,  0.  0.  0.]"
2861,8,"[ 25.   3.   8. ...,   0.   0.   0.]"
2862,1,"[ 43.  15.  12. ...,   0.   0.   0.]"
2863,4,"[ 39.  14.   9. ...,   0.   0.   0.]"
2864,8,"[ 32.  25.  26. ...,   0.   0.   0.]"
2865,4,"[ 24.   3.   6. ...,   0.   0.   0.]"
2866,1,"[ 10.   6.   6. ...,   0.   0.   0.]"
2867,6,"[ 58.  30.  33. ...,   0.   0.   0.]"
2868,7,"[ 9.  2.  3. ...,  0.  0.  0.]"
2869,6,"[ 10.   8.   4. ...,   0.   0.   0.]"
2870,7,"[ 19.  20.  14. ...,   0.   0.   0.]"
2871,9,"[ 18.  13.  10. ...,   0.   0.   0.]"
2872,8,"[ 31.  12.   7. ...,   0.   0.   1.]"
2873,4,"[ 58.  16.  18. ...,   0.   0.   0.]"
2874,2,"[ 0.  1.  0. ...,  0.  0.  0.]"
2875,1,"[ 20.   5.   6. ...,   0.   0.   0.]"
2876,7,"[ 31.   7.   5. ...,   0.   0.   0.]"
2877,4,"[ 47.   5.   7. ...,   0.   0.   0.]"
2878,10,"[ 19.   5.   4. ...,   0.   0.   0.]"
2879,5,"[ 39.   9.  12. ...,   0.   0.   0.]"
2880,9,"[ 32.   6.   8. ...,   0.   0.   0.]"
2881,4,"[ 24.   6.   9. ...,   0.   0.   0.]"
2882,8,"[ 19.   3.   6. ...,   0.   0.   0.]"
2883,6,"[ 22.  14.  16. ...,   0.   0.   0.]"
2884,2,"[ 24.   3.   8. ...,   0.   0.   0.]"
2885,9,"[ 44.  20.  14. ...,   0.   0.   0.]"
2886,9,"[ 40.   6.  10. ...,   0.   0.   0.]"
2887,4,"[ 19.   9.   6. ...,   0.   0.   0.]"
2888,7,"[ 36.  11.   7. ...,   0.   0.   0.]"
2889,2,"[ 29.   5.  20. ...,   0.   0.   0.]"
2890,2,"[ 12.   3.   3. ...,   0.   0.   0.]"
2891,2,"[ 25.   6.   8. ...,   0.   0.   0.]"
2892,9,"[ 41.  34.  13. ...,   0.   0.   0.]"
2893,1,"[ 50.  18.  18. ...,   0.   0.   0.]"
2894,10,"[ 2.  2.  1. ...,  0.  0.  0.]"
2895,9,"[ 25.   6.  10. ...,   0.   0.   0.]"
2896,9,"[ 42.   4.  10. ...,   0.   0.   0.]"
2897,5,"[ 28.  11.  17. ...,   0.   0.   0.]"
2898,6,"[ 32.  10.  13. ...,   0.   0.   0.]"
2899,6,"[ 31.  24.  12. ...,   0.   0.   0.]"
2900,7,"[ 48.   7.   6. ...,   0.   0.   0.]"
2901,7,"[ 30.  13.   9. ...,   0.   0.   0.]"
2902,8,"[ 20.   8.   7. ...,   0.   0.   0.]"
2903,9,"[ 26.  13.   9. ...,   0.   0.   0.]"
2904,6,"[ 9.  5.  4. ...,  0.  0.  0.]"
2905,6,"[ 5.  0.  2. ...,  0.  0.  0.]"
2906,2,"[ 38.   7.  15. ...,   0.   0.   0.]"
2907,2,"[ 8.  5.  4. ...,  0.  0.  0.]"
2908,10,"[ 28.   6.   7. ...,   0.   0.   0.]"
2909,10,"[ 4.  0.  2. ...,  0.  0.  0.]"
2910,1,"[ 19.   5.   6. ...,   0.   0.   0.]"
2911,5,"[ 31.  24.  12. ...,   0.   0.   0.]"
2912,10,"[ 37.  15.  11. ...,   0.   0.   0.]"
2913,6,"[ 19.  10.  10. ...,   0.   0.   0.]"
2914,1,"[ 28.   4.   5. ...,   0.   0.   0.]"
2915,6,"[ 40.  17.  16. ...,   0.   0.   0.]"
2916,7,"[ 19.   6.   7. ...,   0.   0.   0.]"
2917,2,"[ 41.   8.  11. ...,   0.   0.   0.]"
2918,1,"[ 12.   7.   3. ...,   0.   0.   0.]"
2919,10,"[ 77.  66.  21. ...,   0.   0.   0.]"
2920,9,"[ 52.  13.  16. ...,   0.   0.   0.]"
2921,9,"[ 3.  1.  0. ...,  0.  0.  0.]"
2922,6,"[ 8.  2.  6. ...,  0.  0.  0.]"
2923,3,"[ 47.  14.  10. ...,   0.   0.   0.]"
2924,6,"[ 29.   8.  14. ...,   0.   0.   0.]"
2925,8,"[ 42.  16.   9. ...,   0.   0.   0.]"
2926,3,"[ 22.   1.   6. ...,   0.   0.   0.]"
2927,7,"[ 45.  14.  15. ...,   0.   0.   0.]"
2928,1,"[ 17.   1.   8. ...,   0.   0.   0.]"
2929,5,"[ 16.   5.   4. ...,   0.   0.   0.]"
2930,8,"[ 19.   6.   4. ...,   0.   0.   0.]"
2931,4,"[ 31.   8.  12. ...,   0.   0.   0.]"
2932,9,"[ 2.  0.  0. ...,  0.  0.  0.]"
2933,10,"[ 43.  26.   9. ...,   0.   0.   0.]"
2934,2,"[ 30.   9.   8. ...,   0.   0.   0.]"
2935,1,"[ 30.  12.   8. ...,   0.   0.   0.]"
2936,2,"[ 18.   3.   5. ...,   0.   0.   0.]"
2937,1,"[ 86.  64.  28. ...,   0.   0.   0.]"
2938,4,"[ 39.   8.  11. ...,   0.   0.   0.]"
2939,3,"[ 25.   7.  12. ...,   0.   0.   0.]"
2940,2,"[ 7.  0.  2. ...,  0.  0.  0.]"
2941,1,"[ 18.  16.  13. ...,   0.   0.   0.]"
2942,4,"[ 31.   3.   7. ...,   0.   0.   0.]"
2943,1,"[ 60.   4.  12. ...,   0.   0.   0.]"
2944,3,"[ 33.   7.   5. ...,   0.   0.   0.]"
2945,3,"[ 16.   5.   6. ...,   0.   0.   0.]"
2946,3,"[ 44.  21.   9. ...,   0.   0.   0.]"
2947,1,"[ 16.   4.   8. ...,   0.   0.   0.]"
2948,5,"[ 29.   9.  11. ...,   0.   0.   0.]"
2949,2,"[ 32.  11.  10. ...,   0.   0.   0.]"
2950,1,"[ 33.  15.   5. ...,   0.   0.   0.]"
2951,5,"[ 41.  20.  12. ...,   0.   0.   0.]"
2952,1,"[ 23.   8.   5. ...,   0.   0.   0.]"
2953,3,"[ 29.  10.   6. ...,   0.   0.   0.]"
2954,6,"[ 17.  11.   5. ...,   0.   0.   0.]"
2955,4,"[ 39.   7.  13. ...,   0.   0.   0.]"
2956,7,"[ 22.  12.  12. ...,   0.   0.   0.]"
2957,8,"[ 33.  24.  25. ...,   0.   0.   0.]"
2958,3,"[ 5.  2.  2. ...,  0.  0.  0.]"
2959,4,"[ 41.   9.   9. ...,   0.   0.   0.]"
2960,1,"[ 61.  43.  23. ...,   0.   0.   0.]"
2961,3,"[ 15.   2.   8. ...,   0.   0.   0.]"
2962,8,"[ 5.  0.  1. ...,  0.  0.  0.]"
2963,1,"[ 28.   7.   9. ...,   0.   0.   0.]"
2964,10,"[ 69.  58.  21. ...,   0.   0.   0.]"
2965,2,"[ 29.  12.   9. ...,   0.   0.   0.]"
2966,8,"[ 39.   3.   8. ...,   0.   0.   0.]"
2967,10,"[ 38.  31.  20. ...,   0.   0.   0.]"
2968,9,"[ 1.  2.  0. ...,  0.  0.  0.]"
2969,1,"[ 28.  14.   8. ...,   0.   0.   0.]"
2970,10,"[ 2.  2.  1. ...,  0.  0.  0.]"
2971,1,"[ 67.  49.  25. ...,   0.   0.   0.]"
2972,7,"[ 43.  17.  23. ...,   0.   0.   0.]"
2973,10,"[ 6.  3.  2. ...,  0.  0.  0.]"
2974,1,"[ 24.   9.   8. ...,   0.   0.   0.]"
2975,3,"[ 11.   1.   5. ...,   0.   0.   0.]"
2976,2,"[ 18.  10.   6. ...,   0.   0.   0.]"
2977,10,"[ 25.  20.   5. ...,   0.   0.   0.]"
2978,6,"[ 21.  11.   9. ...,   0.   0.   0.]"
2979,10,"[ 7.  4.  2. ...,  0.  0.  0.]"
2980,4,"[ 38.   5.  10. ...,   0.   0.   0.]"
2981,5,"[ 56.  31.  24. ...,   0.   0.   0.]"
2982,6,"[ 43.  20.  17. ...,   0.   0.   0.]"
2983,6,"[ 11.   6.   5. ...,   0.   0.   0.]"
2984,1,"[ 27.   3.   8. ...,   0.   0.   0.]"
2985,9,"[ 30.  14.  12. ...,   0.   0.   0.]"
2986,9,"[ 37.  16.  14. ...,   0.   0.   0.]"
2987,7,"[ 24.   6.   9. ...,   0.   0.   0.]"
2988,1,"[ 40.   6.  11. ...,   0.   0.   0.]"
2989,8,"[ 32.  13.   7. ...,   0.   0.   0.]"
2990,2,"[ 43.   9.   9. ...,   0.   0.   0.]"
2991,5,"[ 13.   6.   5. ...,   0.   0.   0.]"
2992,2,"[ 41.  10.  13. ...,   0.   0.   0.]"
2993,10,"[ 48.  25.  18. ...,   0.   0.   0.]"
2994,4,"[ 36.   1.   8. ...,   0.   0.   0.]"
2995,9,"[ 50.  55.  12. ...,   0.   0.   0.]"
2996,6,"[ 32.  20.  17. ...,   0.   0.   0.]"
2997,7,"[ 32.  10.  10. ...,   0.   0.   0.]"
2998,10,"[ 3.  2.  2. ...,  0.  0.  0.]"
2999,8,"[ 33.  38.  26. ...,   0.   0.   0.]"
3000,3,"[ 11.   2.   3. ...,   0.   0.   0.]"
3001,2,"[ 43.  20.  14. ...,   0.   0.   0.]"
3002,3,"[ 12.   2.   5. ...,   0.   0.   0.]"
3003,5,"[ 15.   6.   8. ...,   0.   0.   0.]"
3004,10,"[ 21.  15.   7. ...,   0.   0.   0.]"
3005,6,"[ 4.  2.  2. ...,  0.  0.  0.]"
3006,10,"[ 5.  0.  1. ...,  0.  0.  0.]"
3007,4,"[ 43.  16.  12. ...,   0.   0.   0.]"
3008,2,"[ 21.  10.   6. ...,   0.   0.   0.]"
3009,6,"[ 23.  11.  10. ...,   0.   0.   0.]"
3010,8,"[ 47.  10.  10. ...,   0.   0.   0.]"
3011,3,"[ 7.  0.  3. ...,  0.  0.  0.]"
3012,1,"[ 84.  50.  20. ...,   1.   0.   0.]"
3013,3,"[ 13.   2.   3. ...,   0.   0.   0.]"
3014,9,"[ 43.   7.   8. ...,   0.   0.   0.]"
3015,2,"[ 21.   9.   5. ...,   0.   0.   0.]"
3016,10,"[ 31.  15.  11. ...,   0.   0.   0.]"
3017,4,"[ 28.   2.   9. ...,   0.   0.   0.]"
3018,4,"[ 11.   4.   5. ...,   0.   0.   0.]"
3019,2,"[ 23.   1.   6. ...,   0.   0.   0.]"
3020,2,"[ 42.  12.   9. ...,   0.   0.   0.]"
3021,5,"[ 4.  3.  2. ...,  0.  0.  0.]"
3022,1,"[ 30.   9.   9. ...,   0.   0.   0.]"
3023,10,"[ 4.  2.  2. ...,  0.  0.  0.]"
3024,10,"[ 31.  19.  15. ...,   0.   0.   0.]"
3025,10,"[ 2.  0.  1. ...,  0.  0.  0.]"
3026,10,"[ 67.  37.  15. ...,   0.   0.   0.]"
3027,7,"[ 21.  10.   8. ...,   0.   0.   0.]"
3028,9,"[ 73.  11.  14. ...,   0.   0.   0.]"
3029,2,"[ 11.   0.   3. ...,   0.   0.   0.]"
3030,3,"[ 43.  18.  10. ...,   0.   0.   0.]"
3031,10,"[ 17.   8.   5. ...,   0.   0.   0.]"
3032,3,"[ 34.  13.  11. ...,   0.   0.   0.]"
3033,6,"[ 37.  12.  16. ...,   0.   0.   0.]"
3034,2,"[ 46.  19.  16. ...,   0.   0.   0.]"
3035,3,"[ 32.   6.   8. ...,   0.   0.   0.]"
3036,5,"[ 40.   8.   9. ...,   0.   0.   0.]"
3037,10,"[ 6.  1.  2. ...,  0.  0.  0.]"
3038,5,"[ 44.  14.  12. ...,   0.   0.   0.]"
3039,5,"[ 38.   4.   9. ...,   0.   0.   0.]"
3040,2,"[ 24.   5.   8. ...,   0.   0.   0.]"
3041,5,"[ 42.  28.  14. ...,   0.   0.   0.]"
3042,5,"[ 27.  16.  10. ...,   0.   0.   0.]"
3043,5,"[ 2.  3.  1. ...,  0.  0.  0.]"
3044,4,"[ 30.   9.   6. ...,   0.   0.   0.]"
3045,10,"[ 2.  0.  1. ...,  0.  0.  0.]"
3046,5,"[ 37.  26.   8. ...,   0.   0.   0.]"
3047,3,"[ 5.  4.  2. ...,  0.  0.  0.]"
3048,6,"[ 18.  16.  11. ...,   0.   0.   0.]"
3049,1,"[ 40.  30.  15. ...,   0.   0.   0.]"
3050,6,"[ 19.   7.   8. ...,   0.   0.   0.]"
3051,3,"[ 29.  11.   9. ...,   0.   0.   0.]"
3052,10,"[ 35.  10.  12. ...,   0.   0.   0.]"
3053,9,"[ 0.  0.  0. ...,  0.  0.  0.]"
3054,1,"[ 38.  17.  13. ...,   0.   0.   0.]"
3055,3,"[ 20.   4.   6. ...,   0.   0.   0.]"
3056,1,"[ 33.  23.   9. ...,   0.   0.   0.]"
3057,6,"[ 7.  8.  6. ...,  0.  0.  0.]"
3058,1,"[ 26.   5.   7. ...,   0.   0.   0.]"
3059,1,"[ 8.  6.  4. ...,  0.  0.  0.]"
3060,2,"[ 21.   3.   7. ...,   0.   0.   0.]"
3061,1,"[ 78.  22.  20. ...,   0.   0.   0.]"
3062,7,"[ 26.  11.  12. ...,   0.   0.   0.]"
3063,8,"[ 22.   1.   6. ...,   0.   0.   0.]"
3064,6,"[ 19.   7.  12. ...,   0.   0.   0.]"
3065,5,"[ 19.   2.   4. ...,   0.   0.   0.]"
3066,4,"[ 47.  12.  13. ...,   0.   0.   0.]"
3067,9,"[ 3.  0.  0. ...,  0.  0.  0.]"
3068,8,"[ 16.   3.   5. ...,   0.   0.   0.]"
3069,1,"[ 20.  13.   8. ...,   0.   0.   0.]"
3070,1,"[ 42.  14.  11. ...,   0.   0.   0.]"
3071,8,"[ 21.   6.   4. ...,   0.   0.   0.]"
3072,1,"[ 53.  25.  14. ...,   0.   0.   0.]"
3073,9,"[ 0.  0.  0. ...,  0.  0.  0.]"
3074,7,"[ 36.   0.   6. ...,   0.   0.   0.]"
3075,1,"[ 34.  17.   9. ...,   0.   0.   0.]"
3076,3,"[ 35.   4.   5. ...,   0.   0.   0.]"
3077,1,"[ 19.   4.   7. ...,   0.   0.   0.]"
3078,4,"[ 36.   6.  14. ...,   0.   0.   0.]"
3079,7,"[ 27.  15.  12. ...,   0.   0.   0.]"
3080,10,"[ 28.  12.   8. ...,   0.   0.   0.]"
3081,6,"[ 36.  15.  21. ...,   0.   0.   0.]"
3082,3,"[ 2.  1.  1. ...,  0.  0.  0.]"
3083,8,"[ 9.  4.  6. ...,  0.  0.  0.]"
3084,1,"[ 25.   3.   7. ...,   0.   0.   0.]"
3085,7,"[ 26.   4.  15. ...,   0.   0.   0.]"
3086,5,"[ 41.  17.  17. ...,   0.   0.   0.]"
3087,1,"[ 30.   1.   4. ...,   0.   0.   0.]"
3088,2,"[ 38.   8.  11. ...,   0.   0.   0.]"
3089,4,"[ 22.   3.   7. ...,   0.   0.   0.]"
3090,6,"[ 29.  10.   9. ...,   0.   0.   0.]"
3091,3,"[ 13.   1.   3. ...,   0.   0.   0.]"
3092,5,"[ 22.   1.   6. ...,   0.   0.   0.]"
3093,2,"[ 45.  31.  15. ...,   0.   0.   0.]"
3094,8,"[ 25.   7.   8. ...,   0.   0.   0.]"
3095,2,"[ 45.  11.  13. ...,   0.   0.   0.]"
3096,2,"[ 24.   8.   6. ...,   0.   0.   0.]"
3097,4,"[ 24.   1.   4. ...,   0.   0.   0.]"
3098,7,"[ 33.   1.   5. ...,   0.   0.   0.]"
3099,6,"[ 11.   2.   5. ...,   0.   0.   0.]"
3100,7,"[ 23.   4.   9. ...,   0.   0.   0.]"
3101,6,"[ 35.  25.  22. ...,   0.   0.   0.]"
3102,10,"[ 63.  50.  42. ...,   0.   0.   0.]"
3103,8,"[ 29.   8.   8. ...,   0.   0.   0.]"
3104,6,"[ 28.  15.  11. ...,   0.   0.   0.]"
3105,2,"[ 27.   3.   8. ...,   0.   0.   0.]"
3106,3,"[ 44.  11.  11. ...,   0.   0.   0.]"
3107,5,"[ 43.  26.  19. ...,   0.   0.   0.]"
3108,9,"[ 7.  2.  2. ...,  0.  0.  0.]"
3109,9,"[ 56.  44.  25. ...,   0.   0.   0.]"
3110,3,"[ 34.   8.  14. ...,   0.   0.   0.]"
3111,1,"[ 7.  3.  1. ...,  0.  0.  0.]"
3112,6,"[ 16.   9.  10. ...,   0.   0.   0.]"
3113,8,"[ 23.   5.   8. ...,   0.   0.   0.]"
3114,5,"[ 24.  20.  13. ...,   0.   0.   0.]"
3115,6,"[ 26.  20.  13. ...,   0.   0.   0.]"
3116,10,"[ 20.  12.   6. ...,   0.   0.   0.]"
3117,6,"[ 7.  4.  3. ...,  0.  0.  0.]"
3118,6,"[ 16.   9.   6. ...,   0.   0.   0.]"
3119,1,"[ 30.  13.   7. ...,   0.   0.   0.]"
3120,4,"[ 35.   6.   9. ...,   0.   0.   0.]"
3121,3,"[ 34.   7.  11. ...,   0.   0.   0.]"
3122,4,"[ 41.  11.  11. ...,   0.   0.   0.]"
3123,5,"[ 13.   6.   5. ...,   0.   0.   0.]"
